,Plant_no,Tray,Variety,Harvest date,Number of leaves,Leaf area on harvest,Fresh weight on harvest,Dried weight (7 days later),harvest_date,im_names_on_270922,im_names_on_041022,im_names_on_111022,im_names_on_181022,im_names_on_251022,im_names_on_011122,im_names_on_081122,harvest_img
88,89,6,voyager,11/10/2022,15.0,30.4,0.5645,0.0624,2022-10-11,,,IMG_8167.JPG,,,,,IMG_8167.JPG
89,90,6,voyager,18/10/2022,9.0,17.16,0.2962,0.0265,2022-10-18,,,IMG_8168.JPG,IMG_8235.JPG,,,,IMG_8235.JPG
90,91,7,voyager,18/10/2022,11.0,29.93,0.5246,0.0522,2022-10-18,,,IMG_8169.JPG,IMG_8236.JPG,,,,IMG_8236.JPG
91,92,7,voyager,01/11/2022,47.0,319.65,4.9857,0.4023,2022-11-01,,,IMG_8170.JPG,IMG_8237.JPG,IMG_8281.JPG,IMG_8304.JPG,,IMG_8304.JPG
92,93,7,voyager,11/10/2022,7.0,10.23,0.1952,0.0282,2022-10-11,,,IMG_8171.JPG,,,,,IMG_8171.JPG
93,94,7,voyager,25/10/2022,17.0,47.92,0.7287,0.0638,2022-10-25,,,IMG_8172.JPG,IMG_8238.JPG,IMG_8282.JPG,,,IMG_8282.JPG
94,95,7,voyager,08/11/2022,59.0,399.89,6.9208,0.4716,2022-11-08,,,IMG_8173.JPG,IMG_8239.JPG,IMG_8283.JPG,IMG_8305.JPG,IMG_8318.JPG,IMG_8318.JPG
95,96,7,voyager,18/10/2022,8.0,22.0,0.3894,0.0344,2022-10-18,,,IMG_8174.JPG,IMG_8240.JPG,,,,IMG_8240.JPG
96,97,7,voyager,01/11/2022,37.0,218.16,3.404,0.2631,2022-11-01,,,IMG_8175.JPG,IMG_8241.JPG,IMG_8284.JPG,IMG_8306.JPG,,IMG_8306.JPG
97,98,7,voyager,11/10/2022,5.0,5.79,0.1012,0.0118,2022-10-11,,,IMG_8176.JPG,,,,,IMG_8176.JPG
98,99,7,voyager,25/10/2022,37.0,134.41,2.2643,0.1886,2022-10-25,,,IMG_8177.JPG,IMG_8242.JPG,IMG_8285.JPG,,,IMG_8285.JPG
99,100,7,voyager,08/11/2022,55.0,450.53,7.2508,0.5082,2022-11-08,,,IMG_8178.JPG,IMG_8243.JPG,IMG_8286.JPG,IMG_8307.JPG,IMG_8319.JPG,IMG_8319.JPG
